,StudyInstanceUID,Modality
101,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
102,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
103,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
104,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
105,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
106,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
107,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
108,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
109,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
110,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
111,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
112,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
113,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
114,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
115,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
116,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
117,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
118,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
119,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
120,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
121,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
122,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
123,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
124,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
125,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
126,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
127,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
128,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
129,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
130,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
131,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
132,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
133,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
134,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
135,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
136,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
137,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
138,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
139,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
140,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
141,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
142,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
143,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
144,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
145,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
146,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
147,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
148,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
149,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
150,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
151,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
152,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
153,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
154,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
155,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
156,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
157,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
158,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
159,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
160,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
161,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
162,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
163,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
164,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
165,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
166,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
167,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
168,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
169,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
170,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
171,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
172,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
173,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
174,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
175,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
176,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
177,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
178,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
179,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
180,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
181,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
182,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
183,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
184,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
185,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
186,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
187,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
188,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
189,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
190,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
191,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
192,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
193,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
194,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
195,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
196,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
197,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
198,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
199,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
200,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
201,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
202,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
203,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
204,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
205,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
206,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
207,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
208,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
209,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
210,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
211,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
212,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
213,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
